offset_x,offset_y,sector,depth_target_units_percent,event_points,reference_points
-4.0,-4.0,8,0.13796930875221253,5,22
-4.0,-4.0,9,-0.16638875112398582,6,17
-4.0,-4.0,35,0.01812661544870134,17,64
-4.0,-4.0,36,0.17990584589559838,18,63
-4.0,-4.0,89,0.024654045483892235,52,124
4.0,-4.0,8,0.08804832306508913,5,22
4.0,-4.0,9,-0.006883841114125697,6,17
4.0,-4.0,35,0.022754760311860626,17,64
4.0,-4.0,36,0.07330021509178145,18,63
4.0,-4.0,89,0.22268854783065128,52,124
-4.0,4.0,8,-0.00876400229665471,5,22
-4.0,4.0,9,-0.08672702131193474,6,17
-4.0,4.0,35,0.06231435912324554,17,64
-4.0,4.0,36,0.09750235698310065,18,63
-4.0,4.0,89,-0.020864828507904883,52,124
4.0,4.0,8,0.8074297472301715,5,22
4.0,4.0,9,0.05517469604725151,6,17
4.0,4.0,35,0.943138559151872,17,64
4.0,4.0,36,0.13281236232819082,18,63
4.0,4.0,89,0.44693594176082824,52,124
