case_id,primary_detected,replication_detected,primary_period_days,replication_period_days,period_agreement,classification_agreement
normal_white_1,False,False,,15.68119266055046,False,True
normal_white_2,False,False,,3.9449541284403673,False,True
sinusoidal_variable,False,True,0.8422885840436506,4.201834862385321,False,False
sinusoidal_variable_fast,True,True,1.7300029011239388,1.7293577981651378,True,True
known_transit,True,True,5.137668199131496,5.13302752293578,True,True
known_eclipse,True,True,1.6449247295774907,3.2866972477064222,True,True
corrupted_normal,False,True,1.1066919191919191,16.46788990825688,False,False
corrupted_eclipse,True,True,2.085427380079561,4.169724770642202,True,True
injection_0.25pct_trial_1,False,False,5.135472083290687,5.13302752293578,True,True
injection_0.25pct_trial_2,False,False,5.137927263502532,5.13302752293578,True,True
injection_0.25pct_trial_3,False,False,5.136057441928148,5.13302752293578,True,True
injection_0.50pct_trial_1,True,True,5.137541491810766,5.13302752293578,True,True
injection_0.50pct_trial_2,True,True,5.138059568818275,5.13302752293578,True,True
injection_0.50pct_trial_3,True,True,5.138907236225091,5.13302752293578,True,True
injection_1.00pct_trial_1,True,True,5.137491227406967,5.13302752293578,True,True
injection_1.00pct_trial_2,True,True,5.136959189262159,5.13302752293578,True,True
injection_1.00pct_trial_3,True,True,5.136846960142054,5.13302752293578,True,True
injection_2.00pct_trial_1,True,True,5.136306076046148,5.13302752293578,True,True
injection_2.00pct_trial_2,True,True,5.1375017900851,5.13302752293578,True,True
injection_2.00pct_trial_3,True,True,5.137528280246149,5.13302752293578,True,True
TIC_31065777_empirical_repeat,True,False,40.57154436016681,99.58611342785655,False,False
