sector,offset_days,depth_target_units_percent,event_points,reference_points
8,-2.0,-0.08437769043224302,5,22
8,-1.0,-0.3002825263210226,5,21
8,1.0,0.019276512647555782,5,22
9,-2.0,0.18150513957851094,5,20
9,-1.0,-0.02396901506723484,6,20
35,-2.0,-0.25751167336245656,17,64
35,-1.0,-0.15661750010773057,17,64
35,1.0,-0.03456528140452984,17,64
35,2.0,-0.04326000851747206,17,64
36,-2.0,-0.0459110135398441,18,63
36,-1.0,-0.15600082215112138,18,63
36,1.0,-0.3351430834637531,18,63
36,2.0,-0.06698478357005733,18,63
89,1.0,-0.0070007842994521475,52,190
89,2.0,0.0593840434147447,52,190
