claim_id,claim_class,evidence_reference,relative_path,selector,path_is_packet_local,artifact_exists,selector_valid,numeric_value_count,validation_detail
M-001,measurement,data/signal_measurements.json#/period_days,data/signal_measurements.json,/period_days,True,True,True,1,
M-001,measurement,data/fitted_events.csv,data/fitted_events.csv,,True,True,True,90,
M-002,measurement,data/signal_measurements.json#/median_depth_percent,data/signal_measurements.json,/median_depth_percent,True,True,True,1,
M-002,measurement,data/fitted_events.csv#depth_percent,data/fitted_events.csv,depth_percent,True,True,True,5,
M-003,measurement,data/significance_tests.json#/bootstrap,data/significance_tests.json,/bootstrap,True,True,True,6,
M-003,measurement,data/period_bootstrap.csv,data/period_bootstrap.csv,,True,True,True,4000,
M-004,measurement,data/held_out_validation.csv,data/held_out_validation.csv,,True,True,True,35,
M-005,measurement,data/replication.json,data/replication.json,,True,True,True,21,
M-006,measurement,data/replication.json#/lightcurve_bls,data/replication.json,/lightcurve_bls,True,True,True,14,
M-006,measurement,data/replication_period_search.csv#depth_percent,data/replication_period_search.csv,depth_percent,True,True,True,2001,
I-001,interpretation,data/primary_events.csv,data/primary_events.csv,,True,True,True,72,
I-001,interpretation,data/period_search.csv,data/period_search.csv,,True,True,True,13,
I-001,interpretation,data/instrument_comparisons.csv,data/instrument_comparisons.csv,,True,True,True,50,
I-002,interpretation,data/signal_measurements.json,data/signal_measurements.json,,True,True,True,16,
I-002,interpretation,data/conventional_explanations.json,data/conventional_explanations.json,,True,True,True,0,
I-002,interpretation,data/unresolved_weaknesses.json,data/unresolved_weaknesses.json,,True,True,True,0,
S-001,speculation,data/unresolved_weaknesses.json,data/unresolved_weaknesses.json,,True,True,True,0,
